recipe_id,title,ingredients,cuisine
1,Pasta,"pasta, tomato, garlic, basil, cheese",Italian
2,Sushi,"rice, seaweed, raw fish, soy sauce, wasabi",Japanese
3,Paneer Tikka,"paneer, yogurt, spices, chili, garlic",Indian
4,Tacos,"tortilla, beef, tomato, lettuce, cheese",Mexican
5,Salad,"lettuce, tomato, cucumber, olive oil, lemon",Mediterranean
6,Fried Rice,"rice, egg, soy sauce, peas, carrots",Chinese
7,Shakshuka,"eggs, tomato, onion, pepper, garlic",Middle Eastern
8,Chow Mein,"noodles, cabbage, soy sauce, carrots",Chinese
9,Butter Chicken,"chicken, butter, cream, tomato, spices",Indian
10,Ratatouille,"eggplant, zucchini, tomato, onion, garlic",French
